App,Category,Rating,Reviews,Size,Installs,Type,Price,Content_Rating,Genres,Last Updated,Current Ver,Android Ver,id
Gloomhaven,Strategy,4.40995,37098,120,37098,Strategy,2017,Strategy,Strategy,1,4,14,1
Pandemic Legacy: Season 1,Strategy,4.310145,38384,60,38384,Strategy,2015,Strategy,Strategy,2,4,13,2
Brass: Birmingham,Strategy,4.319065,14568,120,14568,Strategy,2018,Strategy,Strategy,2,4,14,3
Terraforming Mars,Strategy,4.21543,57395,120,57395,Strategy,2016,Strategy,Strategy,1,5,12,4
Twilight Imperium (Fourth Edition),Strategy,4.34393,11482,480,11482,Strategy,2017,Strategy,Strategy,3,6,14,5
Through the Ages: A New Story of Civilization,Strategy,4.22661,21064,120,21064,Strategy,2015,Strategy,Strategy,2,4,14,6
Gaia Project,Strategy,4.24873,14291,150,14291,Strategy,2017,Strategy,Strategy,1,4,12,7
Star Wars: Rebellion,Strategy,4.210935,21100,240,21100,Strategy,2016,Strategy,Strategy,2,4,14,8
Twilight Struggle,Strategy,4.15105,38886,180,38886,Strategy,2005,Strategy,Strategy,2,2,13,9
Great Western Trail,Strategy,4.14526,26390,150,26390,Strategy,2016,Strategy,Strategy,2,4,12,10
Scythe,Strategy,4.12448,52527,115,52527,Strategy,2016,Strategy,Strategy,1,5,14,11
War of the Ring: Second Edition,Thematic,4.23386,12448,180,12448,Thematic,2012,Thematic,Thematic,2,4,13,12
Spirit Island,Strategy,4.160405,20776,120,20776,Strategy,2017,Strategy,Strategy,1,4,13,13
The Castles of Burgundy,Strategy,4.065625,43541,90,43541,Strategy,2011,Strategy,Strategy,2,4,12,14
Terra Mystica,Strategy,4.079125,37287,150,37287,Strategy,2012,Strategy,Strategy,2,5,12,15
7 Wonders Duel,Strategy,4.051555,53541,30,53541,Strategy,2015,Strategy,Strategy,2,2,10,16
Concordia,Strategy,4.05927,25724,100,25724,Strategy,2013,Strategy,Strategy,2,5,13,17
Brass: Lancashire,Strategy,4.0795,18149,120,18149,Strategy,2007,Strategy,Strategy,2,4,14,18
Arkham Horror: The Card Game,Thematic,4.09439,25078,120,25078,Thematic,2016,Thematic,Thematic,1,2,14,19
Wingspan,Strategy,4.05566,32808,70,32808,Strategy,2019,Strategy,Strategy,1,5,10,20
Viticulture Essential Edition,Strategy,4.04861,25752,90,25752,Strategy,2015,Strategy,Strategy,1,6,13,21
A Feast for Odin,Strategy,4.09104,15442,120,15442,Strategy,2016,Strategy,Strategy,1,4,12,22
The 7th Continent,Thematic,4.127425,14958,1000,14958,Thematic,2017,Thematic,Thematic,1,4,14,23
Orléans,Strategy,4.04241,20196,90,20196,Strategy,2014,Strategy,Strategy,2,4,12,24
Mage Knight Board Game,Strategy,4.051215,26612,240,26612,Strategy,2011,Strategy,Strategy,1,4,14,25
Puerto Rico,Strategy,4.003065,61164,150,61164,Strategy,2002,Strategy,Strategy,3,5,12,26
Caverna: The Cave Farmers,Strategy,4.016825,26745,210,26745,Strategy,2013,Strategy,Strategy,1,7,12,27
Food Chain Magnate,Strategy,4.07773,12730,240,12730,Strategy,2015,Strategy,Strategy,2,5,14,28
Agricola,Strategy,3.97949,61565,150,61565,Strategy,2007,Strategy,Strategy,1,5,12,29
Nemesis,Thematic,4.218355,9279,180,9279,Thematic,2018,Thematic,Thematic,1,5,12,30
Mansions of Madness: Second Edition,Thematic,4.041065,22580,180,22580,Thematic,2016,Thematic,Thematic,1,5,14,31
Blood Rage,Strategy,4.00117,31466,90,31466,Strategy,2015,Strategy,Strategy,2,4,14,32
Pandemic Legacy: Season 2,Strategy,4.090265,10614,60,10614,Strategy,2017,Strategy,Strategy,2,4,14,33
Root,Strategy,4.03997,18949,90,18949,Strategy,2018,Strategy,Strategy,2,4,10,34
Kingdom Death: Monster,Thematic,4.35145,7127,180,7127,Thematic,2015,Thematic,Thematic,1,4,17,35
Power Grid,Strategy,3.933445,54426,120,54426,Strategy,2004,Strategy,Strategy,2,6,12,36
Tzolk'in: The Mayan Calendar,Strategy,3.953585,28793,90,28793,Strategy,2012,Strategy,Strategy,2,4,13,37
Mechs vs. Minions,Strategy,4.033005,13208,120,13208,Strategy,2016,Strategy,Strategy,2,4,14,38
Star Wars: Imperial Assault,Thematic,4.017805,19395,120,19395,Thematic,2014,Thematic,Thematic,1,5,14,39
Everdell,Strategy,4.030845,14489,80,14489,Strategy,2018,Strategy,Strategy,1,4,13,40
Through the Ages: A Story of Civilization,Strategy,3.97461,17686,120,17686,Strategy,2006,Strategy,Strategy,2,4,12,41
Clans of Caledonia,Strategy,4.011555,13188,120,13188,Strategy,2017,Strategy,Strategy,1,4,12,42
Le Havre,Strategy,3.936115,25444,150,25444,Strategy,2008,Strategy,Strategy,1,5,12,43
Eclipse,Strategy,3.95345,25550,180,25550,Strategy,2011,Strategy,Strategy,2,6,14,44
Azul,Family,3.92304,46250,45,46250,Family,2017,Family,Family,2,4,8,45
The Voyages of Marco Polo,Strategy,3.95132,18675,100,18675,Strategy,2015,Strategy,Strategy,2,4,12,46
Robinson Crusoe: Adventures on the Cursed Island,Thematic,3.930435,31776,120,31776,Thematic,2012,Thematic,Thematic,1,4,14,47
Anachrony,Strategy,4.04007,10142,120,10142,Strategy,2017,Strategy,Strategy,1,4,15,48
Android: Netrunner,Uncategorized,3.938665,26004,45,26004,Uncategorized,2012,Uncategorized,Uncategorized,2,2,14,49
Underwater Cities,Strategy,4.058,7590,150,7590,Strategy,2018,Strategy,Strategy,1,4,12,50
7 Wonders,Strategy,3.880245,79873,30,79873,Strategy,2010,Strategy,Strategy,2,7,10,51
Race for the Galaxy,Strategy,3.88025,44585,60,44585,Strategy,2007,Strategy,Strategy,2,4,12,52
The Gallerist,Strategy,4.01656,8933,150,8933,Strategy,2015,Strategy,Strategy,1,4,13,53
Fields of Arle,Strategy,4.046305,7416,120,7416,Strategy,2014,Strategy,Strategy,1,2,13,54
Dominant Species,Strategy,3.92315,17365,240,17365,Strategy,2010,Strategy,Strategy,2,6,14,55
Keyflower,Strategy,3.91107,18071,120,18071,Strategy,2012,Strategy,Strategy,2,6,12,56
Too Many Bones,Strategy,4.224185,4884,120,4884,Strategy,2017,Strategy,Strategy,1,4,12,57
Five Tribes,Strategy,3.889315,30359,80,30359,Strategy,2014,Strategy,Strategy,2,4,13,58
Lords of Waterdeep,Strategy,3.878065,43734,120,43734,Strategy,2012,Strategy,Strategy,2,5,12,59
Teotihuacan: City of Gods,Strategy,3.98275,10773,120,10773,Strategy,2018,Strategy,Strategy,1,4,14,60
Clank!: A Deck-Building Adventure,Strategy,3.903355,24714,60,24714,Strategy,2016,Strategy,Strategy,2,4,12,61
Caylus,Strategy,3.891435,26181,150,26181,Strategy,2005,Strategy,Strategy,2,5,12,62
Maracaibo,Strategy,4.16676,4717,120,4717,Strategy,2019,Strategy,Strategy,1,4,12,63
Marvel Champions: The Card Game,Uncategorized,4.12149,6686,90,6686,Uncategorized,2019,Uncategorized,Uncategorized,1,4,14,64
Lisboa,Strategy,4.0877,5935,120,5935,Strategy,2017,Strategy,Strategy,1,4,12,65
El Grande,Strategy,3.88045,22865,120,22865,Strategy,1995,Strategy,Strategy,2,5,12,66
Twilight Imperium (Third Edition),Strategy,3.92368,17989,240,17989,Strategy,2005,Strategy,Strategy,3,6,14,67
Crokinole,Family,3.93287,11249,30,11249,Family,1876,Family,Family,2,4,8,68
Agricola (Revised Edition),Strategy,4.029865,7991,120,7991,Strategy,2016,Strategy,Strategy,1,4,12,69
Rising Sun,Strategy,3.95183,14446,120,14446,Strategy,2018,Strategy,Strategy,3,5,14,70
Eldritch Horror,Thematic,3.910625,27746,240,27746,Thematic,2013,Thematic,Thematic,1,8,14,71
Mombasa,Strategy,3.949985,10360,150,10360,Strategy,2015,Strategy,Strategy,2,4,12,72
Dominion: Intrigue,Strategy,3.86355,29221,30,29221,Strategy,2009,Strategy,Strategy,2,4,13,73
Aeon's End,Strategy,4.00801,8732,60,8732,Strategy,2016,Strategy,Strategy,1,4,14,74
Battlestar Galactica: The Board Game,Thematic,3.871115,32011,180,32011,Thematic,2008,Thematic,Thematic,3,6,14,75
The Quacks of Quedlinburg,Family,3.89745,16817,45,16817,Family,2018,Family,Family,2,4,10,76
Architects of the West Kingdom,Strategy,3.922965,13849,80,13849,Strategy,2018,Strategy,Strategy,1,5,12,77
Troyes,Strategy,3.88119,17610,90,17610,Strategy,2010,Strategy,Strategy,2,4,12,78
Patchwork,Family,3.833635,42301,30,42301,Family,2014,Family,Family,2,2,8,79
Codenames,Party,3.81903,62582,15,62582,Party,2015,Party,Party,2,8,14,80
Russian Railroads,Strategy,3.88915,14047,120,14047,Strategy,2013,Strategy,Strategy,2,4,12,81
On Mars,Strategy,4.17732,4259,150,4259,Strategy,2020,Strategy,Strategy,1,4,14,82
Raiders of the North Sea,Strategy,3.89966,13962,80,13962,Strategy,2015,Strategy,Strategy,2,4,12,83
Roll for the Galaxy,Strategy,3.84365,24804,45,24804,Strategy,2014,Strategy,Strategy,2,5,13,84
Tigris & Euphrates,Strategy,3.84826,24654,90,24654,Strategy,1997,Strategy,Strategy,2,4,12,85
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,Thematic,3.877755,16027,120,16027,Thematic,1982,Thematic,Thematic,1,8,13,86
Trajan,Strategy,3.885115,14139,120,14139,Strategy,2011,Strategy,Strategy,2,4,12,87
The Crew: The Quest for Planet Nine,Strategy,4.03156,5946,20,5946,Strategy,2019,Strategy,Strategy,2,5,10,88
Dominion,Strategy,3.813355,74959,30,74959,Strategy,2008,Strategy,Strategy,2,4,13,89
Paladins of the West Kingdom,Strategy,4.051405,5677,120,5677,Strategy,2019,Strategy,Strategy,1,4,12,90
Pandemic,Strategy,3.807835,96241,45,96241,Strategy,2008,Strategy,Strategy,2,4,8,91
Pandemic: Iberia,Strategy,3.97007,7775,45,7775,Strategy,2016,Strategy,Strategy,2,5,8,92
Grand Austria Hotel,Strategy,3.899375,11032,120,11032,Strategy,2015,Strategy,Strategy,2,4,12,93
Kemet,Strategy,3.861445,15479,120,15479,Strategy,2012,Strategy,Strategy,2,5,13,94
Champions of Midgard,Strategy,3.892255,12075,90,12075,Strategy,2015,Strategy,Strategy,2,4,10,95
Lorenzo il Magnifico,Strategy,3.944485,8007,120,8007,Strategy,2016,Strategy,Strategy,2,4,12,96
The Lord of the Rings: Journeys in Middle-earth,Thematic,4.049045,6697,120,6697,Thematic,2019,Thematic,Thematic,1,5,14,97
Yokohama,Strategy,3.932525,7954,90,7954,Strategy,2016,Strategy,Strategy,2,4,14,98
Star Wars: X-Wing Miniatures Game,Uncategorized,3.85282,22463,45,22463,Uncategorized,2012,Uncategorized,Uncategorized,2,2,14,99
